Year,Live births,Stillbirths,Early neonatal Under 7 days,Early neonatal Under 1 day,Early neonatal 1 day and under 1 week,Late neonatal 1 week and under 4 weeks,Neonatal under 28 days,Postneonatal 28 days or over,Postneonatal 4 weeks and under 3 months,Postneonatal 3 months and under 6 months,Postneonatal 6 months and under 1 year,Infant under 1 year,Perinatal deaths (stillbirth and early neonatal deaths - under 7 days)  ,Stillbirth and neonatal deaths - under 28 days,Stillbirth and infant deaths - under 1 year,Childhood deaths 1–4 years,Childhood deaths 5–9 years,Childhood deaths 10–14 years,Childhood deaths 1–15 years,"Stillbirth rate per 1,000 births",Early neonatal under 7 days mortality rate,Early neonatal under 1 day mortality rate,Early neonatal 1 day and under 1 week mortality rate,Late neonatal 1 week and under 4 weeks mortality rate,Neonatal under 28 days mortality rate,Postneonatal 28 days or over mortality rate,Postneonatal 4 weeks and under 3 months mortality rate,Postneonatal 3 months and under 6 months mortality rate,Postneonatal 6 months and under 1 year mortality rate,Infant Under 1 year mortality rate,Perinatal deaths (stillbirth and early neonatal deaths - under 7 days) mortality rate,Stillbirth and neonatal deaths - under 28 days mortality rate,Stillbirth and infant deaths - under 1 year mortality rate,Childhood mortality rate 1–4 years ,Childhood mortality rate 5–9  years ,Childhood mortality rate 10–14  years,Childhood mortality rate 1–15  years,
2021,"624,828","2,597","1,353",961,392,362,"1,715",608,312,160,136,"2,323","3,950","4,312","4,920",287,215,259,852,4.1,2.2,1.5,0.6,0.6,2.7,1.0,0.5,0.3,0.2,3.7,6.3,6.9,7.8,11,6,7,8,
2020,"613,936","2,371","1,296",935,361,355,"1,651",575,287,158,130,"2,226","3,667","4,022","4,597",263,194,246,789,3.8,2.1,1.5,0.6,0.6,2.7,0.9,0.5,0.3,0.2,3.6,5.9,6.5,7.5,9,5,7,7,
2019,"640,370","2,522","1,399","1,016",383,374,"1,773",617,333,151,133,"2,390","3,921","4,295","4,912",334,232,273,907,3.9,2.2,1.6,0.6,0.6,2.8,1.0,0.5,0.2,0.2,3.7,6.1,6.7,7.6,12,6,8,8,
2018,"657,076","2,689","1,464","1,076",388,364,"1,828",660,353,163,144,"2,488","4,153","4,517","5,177",363,252,266,973,4.1,2.2,1.6,0.6,0.6,2.8,1.0,0.5,0.2,0.2,3.8,6.3,6.8,7.8,13,7,8,9,
2017,"679,106","2,873","1,476","1,085",391,427,"1,903",733,364,199,170,"2,636","4,349","4,776","5,509",365,270,268,992,4.2,2.2,1.6,0.6,0.6,2.8,1.1,0.5,0.3,0.3,3.9,6.4,7.0,8.1,13,7,8,9,
2016,"696,271","3,112","1,515","1,112",403,390,"1,905",746,375,198,173,"2,651","4,627","5,017","5,763",423,234,279,"1,008",4.4,2.2,1.6,0.6,0.6,2.7,1.1,0.5,0.3,0.2,3.8,6.6,7.2,8.2,15,6,9,10,
2015,"697,852","3,147","1,436","1,016",420,402,"1,838",740,348,208,184,"2,578","4,583","4,985","5,725",406,250,273,"1,021",4.5,2.1,1.5,0.6,0.6,2.6,1.1,0.5,0.3,0.3,3.7,6.5,7.1,8.2,14,7,9,10,
2014,"695,233","3,254","1,376",925,451,386,"1,762",755,367,224,164,"2,517","4,630","5,016","5,771",400,259,244,987,4.7,2.0,1.3,0.6,0.6,2.5,1.1,0.5,0.3,0.2,3.6,6.6,7.2,8.3,14,8,8,10,
2013,"698,512","3,284","1,423",978,445,448,"1,871",815,420,209,186,"2,686","4,707","5,155","5,970",437,244,265,"1,029",4.7,2.0,1.4,0.6,0.6,2.7,1.2,0.6,0.3,0.3,3.8,6.7,7.3,8.5,15,7,8,10,
2012,"729,674","3,558","1,569","1,095",474,473,"2,042",870,450,206,214,"2,912","5,127","5,600","6,470",454,267,272,"1,074",4.9,2.2,1.5,0.6,0.6,2.8,1.2,0.6,0.3,0.3,4.0,7.0,7.6,8.8,16,8,9,11,
2011,"723,913","3,811","1,639","1,117",522,496,"2,135",890,459,212,219,"3,025","5,450","5,946","6,836",454,228,287,"1,046",5.2,2.3,1.5,0.7,0.7,2.9,1.2,0.6,0.3,0.3,4.2,7.5,8.2,9.4,16,7,9,11,
2010,"723,165","3,714","1,657","1,099",558,466,"2,123",954,480,249,225,"3,077","5,371","5,837","6,791",454,279,273,"1,104",5.1,2.3,1.5,0.8,0.6,2.9,1.3,0.7,0.3,0.3,4.3,7.4,8.0,9.3,17,9,8,11,
2009,"706,248","3,688","1,685","1,074",611,520,"2,205",986,506,255,225,"3,191","5,373","5,893","6,879",471,259,347,"1,199",5.2,2.4,1.5,0.9,0.7,3.1,1.4,0.7,0.4,0.3,4.5,7.6,8.3,9.7,18,8,10,12,
2008,"708,711","3,617","1,734","1,148",586,527,"2,261","1,023",501,302,220,"3,284","5,351","5,878","6,901",506,296,294,"1,196",5.1,2.4,1.6,0.8,0.7,3.2,1.4,0.7,0.4,0.3,4.6,7.5,8.3,9.7,19,10,9,12,
2007,"690,013","3,598","1,745","1,106",639,503,"2,248","1,016",472,295,249,"3,264","5,343","5,846","6,862",556,295,380,"1,356",5.2,2.5,1.6,0.9,0.7,3.3,1.5,0.7,0.4,0.4,4.7,7.7,8.4,9.9,22,9,11,14,
2006,"669,601","3,602","1,751","1,140",611,574,"2,325",996,484,279,233,"3,321","5,353","5,927","6,923",545,310,418,"1,409",5.4,2.6,1.7,0.9,0.9,3.5,1.5,0.7,0.4,0.3,5.0,8.0,8.8,10.3,22,10,12,15,
2005,"645,835","3,483","1,697","1,105",592,530,"2,227","1,032",485,298,249,"3,259","5,180","5,710","6,742",501,288,421,"1,319",5.4,2.6,1.7,1.0,0.8,3.4,1.6,0.8,0.5,0.4,5.0,8.0,8.8,10.4,21,9,12,14,
2004,"639,721","3,686","1,699","1,087",612,510,"2,209","1,009",495,268,246,"3,218","5,385","5,895","6,904",516,303,420,"1,380",5.7,2.7,1.7,1.0,0.8,3.5,1.6,0.8,0.4,0.4,5.0,8.4,9.2,10.7,21,9,12,14,
2003,"621,469","3,612","1,749","1,104",645,515,"2,264","1,042",502,272,268,"3,306","5,361","5,876","6,918",586,342,437,"1,501",5.8,2.8,1.8,1.0,0.8,3.6,1.7,0.8,0.4,0.4,5.3,8.6,9.4,11.1,24,10,13,15,
2002,"596,122","3,372","1,620","1,019",601,506,"2,126","1,001",503,286,212,"3,127","4,992","5,285","6,286",551,356,469,"1,505",5.6,2.7,1.7,1.0,1.0,3.6,1.7,0.8,0.0,0.0,5.2,8.0,9.0,11.0,22,11,14,15,
2001,"594,634","3,159","1,598","1,013",585,539,"2,137","1,103",481,324,298,"3,240","4,757","5,296","6,399",588,373,459,"1,560",5.3,2.7,1.7,1.0,0.9,3.6,1.9,0.8,0.5,0.5,5.4,8.0,8.9,10.7,24,11,13,16,
2000,"604,441","3,203","1,753","1,051",702,582,"2,335","1,042",508,296,238,"3,377","4,956","5,538","6,580",581,373,463,"1,542",5.3,2.9,1.7,1.2,1.0,3.9,1.7,0.8,0.5,0.4,5.6,8.2,9.1,10.8,23,11,14,15,
1999,"621,872","3,305","1,833","1,082",751,602,"2,435","1,186",546,351,289,"3,621","5,138","5,740","6,926",705,386,490,"1,710",5.3,2.9,1.7,1.2,1.0,3.9,1.9,0.9,0.6,0.5,5.8,8.2,9.2,11.1,27,11,15,17,
1998,"635,901","3,417","1,844","1,087",757,574,"2,418","1,207",573,358,276,"3,625","5,261","5,835","7,042",722,417,480,"1,768",5.3,2.9,1.7,1.2,0.9,3.8,1.9,0.9,0.6,0.4,5.7,8.2,9.1,11.0,28,12,14,18,
1997,"643,095","3,439","1,941","1,146",795,576,"2,517","1,282",555,408,319,"3,799","5,380","5,956","7,239",710,444,534,"1,837",5.3,3.0,1.8,1.2,0.9,3.9,2.0,0.9,0.6,0.5,5.9,8.3,9.2,11.2,27,13,16,18,
1996,"649,489","3,539","2,066","1,210",856,579,"2,645","1,314",571,408,335,"3,959","5,605","6,184","7,498",761,411,487,"1,844",5.4,3.2,1.9,1.3,0.9,4.1,2.0,0.9,0.6,0.5,6.1,8.6,9.5,11.5,29,12,15,19,
1995,"648,138","3,600","2,104","1,146",958,594,"2,698","1,284",567,402,315,"3,982","5,701","6,295","7,579",724,465,550,"1,907",5.5,3.2,1.8,1.5,0.9,4.2,2.0,0.9,0.6,0.5,6.1,8.7,9.7,11.6,27,14,17,19,
1994,"664,726","3,813","2,142","1,234",908,607,"2,749","1,371",539,448,384,"4,120","5,958","6,565","7,936",796,465,535,"1,949",5.7,3.2,1.9,1.4,0.9,4.1,2.1,0.8,0.7,0.6,6.2,8.9,9.8,11.9,29,14,17,20,
1993,"673,467","3,855","2,178","1,290",888,618,"2,796","1,446",575,480,391,"4,242","6,044","6,662","8,108",884,470,586,"2,109",5.7,3.2,1.9,1.3,0.9,4.2,2.1,0.9,0.7,0.6,6.3,8.9,9.8,12.0,32,14,18,22,
1992,"689,656","2,944","2,294","1,357",937,661,"2,955","1,584",669,518,397,"4,539","5,238","5,899","7,483",874,516,521,"2,065",4.3,3.3,2.0,1.4,1.0,4.3,2.3,1.0,0.8,0.6,6.6,7.6,8.5,10.8,32,16,17,21,
1991,"699,217","3,254","2,396","1,390","1,006",656,"3,052","2,106",873,734,499,"5,158","5,650","6,306","8,412",993,589,576,"2,355",4.6,3.4,2.0,1.4,0.9,4.4,3.0,1.2,1.0,0.7,7.4,8.0,9.0,12.0,37,18,19,25,
1990,"706,140","3,256","2,498","1,436","1,062",723,"3,221","2,343",953,864,526,"5,564","5,754","6,477","8,820","1,027",553,568,"2,350",4.6,3.5,2.0,1.5,1.0,4.6,3.3,1.3,1.2,0.7,7.9,8.1,9.1,12.4,38,17,19,24,
1989,"687,725","3,236","2,515","1,414","1,101",757,"3,272","2,536","1,090",893,553,"5,808","5,751","6,508","9,044","1,078",612,563,"2,443",4.7,3.7,2.1,1.6,1.1,4.8,3.7,1.6,1.3,0.8,8.4,8.3,9.4,13.1,41,19,19,25,
1988,"693,577","3,382","2,701","1,511","1,190",720,"3,421","2,849","1,194","1,023",632,"6,270","6,083","6,803","9,652","1,085",606,620,"2,528",4.9,3.9,2.2,1.7,1.0,4.9,4.1,1.7,1.5,0.9,9.0,8.7,9.8,13.8,42,19,21,26,
1987,"681,511","3,423","2,684","1,564","1,120",764,"3,448","2,824","1,211",992,621,"6,272","6,107","6,871","9,695","1,067",546,650,"2,479",5.0,3.9,2.3,1.6,1.1,5.1,4.1,1.8,1.5,0.9,9.2,8.9,10.0,14.2,42,18,21,26,
1986,"661,018","3,549","2,823","1,612","1,211",666,"3,489","2,824","1,173",998,653,"6,313","6,372","7,038","9,862","1,064",573,652,"2,546",5.3,4.3,2.4,1.8,1.0,5.3,4.3,1.8,1.5,1.0,9.6,9.6,10.6,14.8,42,19,20,26,
1985,"656,417","3,645","2,853","1,634","1,219",678,"3,531","2,610","1,101",922,587,"6,141","6,498","7,176","9,786","1,135",588,811,"2,762",5.5,4.3,2.5,1.9,1.0,5.4,4.0,1.7,1.4,0.9,9.4,9.8,10.9,14.8,45,20,24,29,
1984,"636,818","3,643","2,821","1,629","1,192",723,"3,544","2,493","1,049",842,602,"6,037","6,464","7,187","9,680","1,064",608,803,"2,748",5.7,4.4,2.6,1.9,1.1,5.6,3.9,1.6,1.3,0.9,9.5,10.1,11.2,15.1,42,21,23,28,
1983,"629,134","3,631","2,951","1,636","1,315",731,"3,682","2,699","1,166",940,593,"6,381","6,582","7,313","10,012","1,093",660,846,"2,862",5.7,4.7,2.6,2.1,1.2,5.9,4.3,1.9,1.5,0.9,10.1,10.4,11.6,15.8,44,23,23,30,
1982,"625,931","3,939","3,148","1,768","1,380",777,"3,925","2,850","1,185",995,670,"6,775","7,087","7,864","10,714","1,137",644,899,"2,940",6.3,5.0,2.8,2.2,1.2,6.3,4.6,1.9,1.6,1.1,10.8,11.3,12.5,17.0,47,21,24,30,
1981,"634,492","4,207","3,356","1,871","1,485",870,"4,226","2,795","1,167",999,629,"7,021","7,563","8,433","11,228","1,180",749,941,"3,155",6.6,5.3,2.9,2.3,1.4,6.7,4.4,1.8,1.6,1.0,11.1,11.8,13.2,17.6,50,23,24,33,
1980,"656,234","4,773","4,042","2,215","1,827",981,"5,023","2,876","1,165","1,016",695,"7,899","8,815","9,796","12,672","1,186",866,919,[x],7.2,6.2,3.4,2.8,1.5,7.7,4.4,1.8,1.5,1.1,12.0,13.3,14.8,19.2,51,26,23,[x],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
